Time,Text
2024-02-28 21:47:13,Order 1196047267 successfully placed
2024-02-28 21:47:13,Modify position for symbol FOREXCOM:EURUSD with SL 1.08137
2024-02-28 21:47:04,Order 1196046877 for symbol FOREXCOM:EURUSD has been executed at price 1.08230 for 600000 shares
2024-02-28 21:47:04,Order 1196046877 successfully placed
2024-02-28 21:47:04,Call to place market order to buy 600000 shares of symbol FOREXCOM:EURUSD 
2024-02-28 18:54:34,Order 1195700401 successfully cancelled
2024-02-28 18:54:34,Order 1195700499 successfully cancelled
2024-02-28 18:54:34,Order 1195700160 successfully cancelled
2024-02-28 18:03:53,Order 1195700499 successfully placed
2024-02-28 18:03:53,Order 1195700160 modification confirmed
2024-02-28 18:03:53,"Modified order 1195700160 for symbol FOREXCOM:EURUSD with price 1.08039, qty 600000 with SL 1.07966 and TP 1.08183"
2024-02-28 18:03:49,Order 1195700401 successfully placed
2024-02-28 18:03:49,Order 1195700160 modification confirmed
2024-02-28 18:03:49,"Modified order 1195700160 for symbol FOREXCOM:EURUSD with price 1.08039, qty 600000 with SL 1.07966"
2024-02-28 18:03:40,Order 1195700160 successfully placed
2024-02-28 18:03:40,Call to place limit order to buy 600000 shares of symbol FOREXCOM:EURUSD at price 1.08039 
2024-02-27 23:22:34,Order 1194193272 for symbol BINANCE:BTCUSDT.P has been executed at price 57335.0 for 2 shares
2024-02-27 23:22:34,Order 1194194628 successfully cancelled
2024-02-27 22:55:06,Order 1194194628 modification confirmed
2024-02-27 22:55:06,Order 1194193272 modification confirmed
2024-02-27 22:55:06,Modify position for symbol BINANCE:BTCUSDT.P with SL 57336.3 and TP 55906.8
2024-02-27 22:54:55,Order 1194194628 modification confirmed
2024-02-27 22:54:55,Order 1194193272 modification confirmed
2024-02-27 22:54:55,Modify position for symbol BINANCE:BTCUSDT.P with SL 57336.3 and TP 55597.9
2024-02-27 22:54:41,Order 1194219876 for symbol BINANCE:BTCUSDT.P has been executed at price 57017.0 for 1 shares
2024-02-27 22:54:41,Order 1194219876 successfully placed
2024-02-27 22:54:41,Call to place market order to sell 1 shares of symbol BINANCE:BTCUSDT.P 
2024-02-27 22:54:17,Order 1194194628 modification confirmed
2024-02-27 22:54:17,Order 1194193272 modification confirmed
2024-02-27 22:54:17,Modify position for symbol BINANCE:BTCUSDT.P with SL 57163.1 and TP 55597.9
2024-02-27 22:47:42,Order 1194194628 successfully placed
2024-02-27 22:47:42,Order 1194193272 modification confirmed
2024-02-27 22:47:42,Modify position for symbol BINANCE:BTCUSDT.P with SL 57148.9 and TP 55597.9
2024-02-27 22:47:22,Order 1194193272 successfully placed
2024-02-27 22:47:22,Modify position for symbol BINANCE:BTCUSDT.P with SL 57148.9
2024-02-27 22:46:50,Order 1194190677 for symbol BINANCE:BTCUSDT.P has been executed at price 56700.0 for 1 shares
2024-02-27 22:46:50,Order 1194190677 successfully placed
2024-02-27 22:46:50,Call to place market order to sell 1 shares of symbol BINANCE:BTCUSDT.P 
2024-02-27 21:38:31,Order 1193808279 for symbol FOREXCOM:EURUSD has been executed at price 1.08478 for 650000 shares
2024-02-27 21:38:31,Order 1193808460 successfully cancelled
2024-02-27 19:32:21,Order 1193808460 modification confirmed
2024-02-27 19:32:21,Order 1193808279 modification confirmed
2024-02-27 19:32:21,Modify position for symbol FOREXCOM:EURUSD with SL 1.08479 and TP 1.08686
2024-02-27 19:32:10,Order 1193808460 successfully placed
2024-02-27 19:32:10,Order 1193808279 modification confirmed
2024-02-27 19:32:10,Modify position for symbol FOREXCOM:EURUSD with SL 1.08479 and TP 1.08699
