Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Leverage,Margin,Placing Time,Closing Time,Order ID
BINANCE:BTCUSDT.P,Sell,Market,0.5,,,66475.1,Filled,,500:1,66.45 USD,2024-03-06 00:05:52,2024-03-06 00:05:52,1207632168
BINANCE:BTCUSDT.P,Buy,Stop,0.5,,67718.7,,Cancelled,,,,2024-03-06 00:05:59,2024-03-06 01:09:55,1207632588
BINANCE:BTCUSDT.P,Buy,Limit,0.5,63944.7,,63942.8,Filled,,,,2024-03-06 00:06:20,2024-03-06 01:09:55,1207633988
BINANCE:BTCUSDT.P,Buy,Market,0.591,,,66752.5,Filled,,500:1,78.88 USD,2024-03-06 22:03:31,2024-03-06 22:03:31,1209592348
BINANCE:BTCUSDT.P,Sell,Stop,0.591,,65876.1,65643.8,Filled,,,,2024-03-06 22:03:37,2024-03-06 23:04:09,1209592657
BINANCE:BTCUSDT.P,Sell,Limit,0.591,68485.9,,,Cancelled,,,,2024-03-06 22:10:38,2024-03-06 23:04:09,1209608141
BINANCE:BTCUSDT.P,Sell,Market,0.5,,,65512,Filled,,500:1,65.49 USD,2024-03-06 23:07:42,2024-03-06 23:07:43,1209816918
BINANCE:BTCUSDT.P,Buy,Stop,0.55,,66428,,Cancelled,,,,2024-03-06 23:07:47,2024-03-06 23:15:37,1209817349
BINANCE:BTCUSDT.P,Sell,Market,0.05,,,65727.7,Filled,,500:1,6.57 USD,2024-03-06 23:09:24,2024-03-06 23:09:24,1209824914
BINANCE:BTCUSDT.P,Buy,Market,1.1,,,66218.2,Filled,,500:1,145.63 USD,2024-03-06 23:15:43,2024-03-06 23:15:43,1209851089
BINANCE:BTCUSDT.P,Buy,Market,0.5,,,66243.9,Filled,,500:1,66.22 USD,2024-03-06 23:16:17,2024-03-06 23:16:17,1209853867
BINANCE:BTCUSDT.P,Sell,Stop,1.05,,65319.4,,Cancelled,,,,2024-03-06 23:19:44,2024-03-07 22:40:49,1209867970
BINANCE:BTCUSDT.P,Sell,Limit,1.05,67991.6,,67993.1,Filled,,,,2024-03-06 23:19:53,2024-03-07 22:40:49,1209868450
FOREXCOM:EURUSD,Buy,Limit,800000,1.08935,,1.08935,Filled,,500:1,"1,742.96 USD",2024-03-07 16:36:50,2024-03-07 16:36:54,1211329162
FOREXCOM:EURUSD,Sell,Stop,800000,,1.08877,1.08875,Filled,,,,2024-03-07 16:36:59,2024-03-07 21:15:32,1211329401
FOREXCOM:EURUSD,Sell,Limit,800000,1.09051,,,Cancelled,,,,2024-03-07 16:37:10,2024-03-07 21:15:32,1211329717
FOREXCOM:EURUSD,Buy,Market,1000000,,,1.09348,Filled,,500:1,"2,186.96 USD",2024-03-08 16:30:39,2024-03-08 16:30:39,1213374078
FOREXCOM:EURUSD,Sell,Stop,1100000,,1.09306,1.09306,Filled,,,,2024-03-08 16:30:43,2024-03-08 17:15:38,1213374187
